"Story","Title","Result","Date","Stability","Duration (s)"
"Lookup a definition","Looking up the definition of 'apple'","SUCCESS","2020-04-11T17:13:48.4204761+03:00[Europe/Helsinki]","0.0","10.03"
"Lookup a definition","Looking up the definition of 'pear'","SUCCESS","2020-04-11T17:14:00.1338935+03:00[Europe/Helsinki]","0.0","9.11"
